time,x,y,z,yaw,platform,controller,trajectory,traj_double,lookahead_time,traj_time,comp_time,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input
10.13632321357727,0.14259894,-0.03723272,-2.8603606,0.002907334113092025,SIM,ff_f8_pfb,F8_CONTRACTION,NormSpd,0.0,0.1349809169769287,0.0024280548095703125,-0.040352985,0.09133857,-0.07174865,0.16941875219345093,0.16880980134010315,-3.0,0.0,1.2521203756332397,1.238602638244629,0.0,-0.0144471135,-0.00519944,0.03817266,0.7438566488695909,-0.19541460175226222,0.020970846451002854,-0.004269898057469748
10.244019269943237,0.14561129,-0.009879546,-2.8758724,-0.0019705788737419266,nan,nan,nan,nan,nan,0.2429664134979248,0.0026323795318603516,-0.06510747,0.08076355,-0.08085051,0.3041360676288605,0.30059894919395447,-3.0,0.0,1.2420223951339722,1.1985183954238892,0.0,-0.142965,0.013002235,0.03294849,0.7443838260952447,-0.19140761298692086,0.001152710125985016,0.0029690498581377697
10.342333793640137,0.1435103,0.0018646964,-2.8847404,-0.004813786064130535,nan,nan,nan,nan,nan,0.34099817276000977,0.0025773048400878906,-0.0769902,0.064854965,-0.1141067,0.4252399504184723,0.41551682353019714,-3.0,0.0,1.227903962135315,1.1430188417434692,0.0,-0.19277367,-0.0032740415,0.033301298,0.7448432633816446,-0.160085564568016,-0.020433509324296276,0.00663471330177428
10.444355726242065,0.1382618,0.012452976,-2.8983474,-0.007993708896090891,nan,nan,nan,nan,nan,0.44319844245910645,0.002466917037963867,-0.090782784,0.02871347,-0.15060645,0.549769401550293,0.528590738773346,-3.0,0.0,1.2082278728485107,1.06673002243042,0.0,-0.1652506,-0.027243176,0.03427675,0.7453880920710608,-0.12134031110074066,-0.03956541410894644,0.010117281573836956
10.543088436126709,0.13063967,0.018186584,-2.915101,-0.010717879746438452,nan,nan,nan,nan,nan,0.5418610572814941,0.002397298812866211,-0.10253877,-0.020246273,-0.18510403,0.6678439974784851,0.629510223865509,-3.0,0.0,1.1845070123672485,0.9763972163200378,0.0,-0.12840974,-0.046243295,0.035021912,0.7459455853998288,-0.08828600695808939,-0.05485061584651502,0.012735040608013417
10.64245080947876,0.11962393,0.018009014,-2.938329,-0.013818647431553446,nan,nan,nan,nan,nan,0.6412196159362793,0.0026962757110595703,-0.11223657,-0.08583573,-0.22359356,0.7841574549674988,0.7213712930679321,-3.0,0.0,1.156020164489746,0.8702821731567383,0.0,-0.08541132,-0.0623718,0.036508802,0.7464578904629133,-0.05638203859072113,-0.0669301593632796,0.015940997215622237
10.741939306259155,0.10683411,0.010741855,-2.9643483,-0.01744765272415318,nan,nan,nan,nan,nan,0.7406692504882812,0.0024886131286621094,-0.1179981,-0.15454142,-0.26027688,0.8975180983543396,0.8020695447921753,-3.0,0.0,1.1229972839355469,0.7505021691322327,0.0,-0.050350428,-0.07279952,0.0384388,0.7469327937580025,-0.028962356196514476,-0.07778976384492123,0.020141783511164215
10.841841459274292,0.0901247,-0.0056454036,-2.9972126,-0.02296937860030645,nan,nan,nan,nan,nan,0.8405210971832275,0.0026290416717529297,-0.12008024,-0.23394181,-0.30099514,1.0078120231628418,0.870506227016449,-3.0,0.0,1.0854308605194092,0.6184632182121277,0.0,-0.015855331,-0.08391533,0.040436912,0.7472803105505005,-0.0021066406083110035,-0.08665633716471234,0.027470082523188635
10.947318315505981,0.072333954,-0.028710287,-3.0312257,-0.031048082724183114,nan,nan,nan,nan,nan,0.9461562633514404,0.002941608428955078,-0.11831955,-0.3086108,-0.33913314,1.1201685667037964,0.9279875159263611,-3.0,0.0,1.0410429239273071,0.4682370722293854,0.0,0.01160964,-0.093590975,0.04233147,0.7475669482508561,0.02360827073443206,-0.09597075582766945,0.038854557138353375
11.047536849975586,0.051261425,-0.062098928,-3.0719953,-0.04307236679795657,nan,nan,nan,nan,nan,1.0386698246002197,0.0027420520782470703,-0.11186032,-0.38808846,-0.38081157,1.2145329713821411,0.9649443030357361,-3.0,0.0,0.9983959197998047,0.3298104703426361,0.0,0.040654812,-0.10024161,0.046980795,0.7477132152230764,0.04548176762550108,-0.1033465531285545,0.05211489480082401
11.142717599868774,0.030989617,-0.10073404,-3.1132095,-0.05767787075917671,nan,nan,nan,nan,nan,1.141472339630127,0.002360105514526367,-0.10089025,-0.45748034,-0.41958272,1.3145664930343628,0.9907146692276001,-3.0,0.0,0.9470565319061279,0.1708492487668991,0.0,0.06619237,-0.106187694,0.05405924,0.7475359780969535,0.06913457039487655,-0.10615619955205441,0.07886519270012876
11.24285101890564,0.014184821,-0.13801384,-3.149979,-0.07103851412927506,nan,nan,nan,nan,nan,1.2434206008911133,0.005342006683349609,-0.08735102,-0.51145995,-0.45172283,1.4083552360534668,0.9999658465385437,-3.0,0.0,0.8922423124313354,0.010389652103185654,0.0,0.086763166,-0.10945325,0.061698828,0.7473470965252949,0.09165963763701865,-0.11236908557386112,0.09911468764266791
11.341838359832764,-0.008256701,-0.19736415,-3.2049901,-0.08970468699636878,nan,nan,nan,nan,nan,1.34047269821167,0.0025358200073242188,-0.06060058,-0.5784437,-0.496478,1.4922778606414795,0.9935441017150879,-3.0,0.0,0.8366567492485046,-0.1425611823797226,0.0,0.11573471,-0.113190204,0.07755375,0.7468156148876622,0.11062771672562888,-0.11115780914366025,0.12832255880442237
11.441949605941772,-0.026821967,-0.25929752,-3.2603498,-0.10560821136857075,nan,nan,nan,nan,nan,1.440779685974121,0.0026862621307373047,-0.026240965,-0.6310646,-0.53721714,1.5731819868087769,0.9713995456695557,-3.0,0.0,0.7759411334991455,-0.2983895540237427,0.0,0.13881679,-0.10962323,0.09612474,0.7461113530008662,0.12880590432856964,-0.10883146914842436,0.1535208028898077
11.541833639144897,-0.041251335,-0.32191107,-3.3147535,-0.11704064533610695,nan,nan,nan,nan,nan,1.5405082702636719,0.0025560855865478516,0.015164359,-0.6701628,-0.57277256,1.6474274396896362,0.9341011047363281,-3.0,0.0,0.7125206589698792,-0.4486302137374878,0.0,0.15751375,-0.10702548,0.11743178,0.7452830581049895,0.14593523704538475,-0.10521918219444389,0.17203797260321177
11.646782398223877,-0.05131177,-0.39450154,-3.3769076,-0.12349700253472756,nan,nan,nan,nan,nan,1.6454498767852783,0.002544879913330078,0.073719904,-0.7001319,-0.6088537,1.7185664176940918,0.8790469169616699,-3.0,0.0,0.642769992351532,-0.5990831851959229,0.0,0.17298727,-0.10085196,0.14061585,0.7441889184382123,0.16169823695739133,-0.09814547875526437,0.18328603543753216
11.7419753074646,-0.053526413,-0.46404907,-3.4371972,-0.12270839957881827,nan,nan,nan,nan,nan,1.7407281398773193,0.002467632293701172,0.14161053,-0.7139802,-0.6396713,1.7766932249069214,0.8158104419708252,-3.0,0.0,0.5770144462585449,-0.7267376184463501,0.0,0.18640588,-0.092523,0.15923691,0.7431116576096775,0.17359384459276328,-0.08886487396211391,0.18347507879605598
11.84231448173523,-0.047815386,-0.5286526,-3.4949636,-0.11597287553366455,nan,nan,nan,nan,nan,1.8412015438079834,0.0025072097778320312,0.21554914,-0.7138529,-0.6649948,1.8310902118682861,0.7364925742149353,-3.0,0.0,0.5054387450218201,-0.8500466346740723,0.0,0.1935481,-0.083177924,0.17351167,0.7419648481480579,0.1853789394964355,-0.08020604943510619,0.17449993077351275
11.942121982574463,-0.029727522,-0.6043299,-3.5657487,-0.10119373801379153,nan,nan,nan,nan,nan,1.9408128261566162,0.0029098987579345703,0.31688386,-0.6953911,-0.6909844,1.877819538116455,0.6462768316268921,-3.0,0.0,0.4324885606765747,-0.9589435458183289,0.0,0.19777761,-0.06987513,0.1853979,0.7406024006264573,0.19103299885919586,-0.06614550848577411,0.15333565515520814
12.041319131851196,-0.0010402172,-0.67179346,-3.6330662,-0.0826641951714015,nan,nan,nan,nan,nan,2.040053367614746,0.0023772716522216797,0.42107892,-0.65943587,-0.7110037,1.9170626401901245,0.5463382005691528,-3.0,0.0,0.35812538862228394,-1.0525147914886475,0.0,0.20237452,-0.05692761,0.18881494,0.7393229210641523,0.19442799372564123,-0.052726905667084246,0.12610101301793344
12.14180612564087,0.04430727,-0.74014044,-3.7081227,-0.05898151730667633,nan,nan,nan,nan,nan,2.1406869888305664,0.0025243759155273438,0.5432095,-0.5990077,-0.72787476,1.949247121810913,0.4363391399383545,-3.0,0.0,0.28129830956459045,-1.1306997537612915,0.0,0.19526857,-0.038755096,0.18171021,0.737980800005547,0.19275999284947565,-0.0372297919054254,0.09066192904088465
