trajectory_display,Contraction ff,Contraction noff,Standard NR baseline noff,Standard NR baseline ff,Standard NR workshop noff,Standard NR workshop ff,NR Enhanced baseline noff,NR Enhanced baseline ff,NR Enhanced workshop noff,NR Enhanced workshop ff,NR Diff-Flat baseline noff,NR Diff-Flat baseline ff,NR Diff-Flat workshop noff,NR Diff-Flat workshop ff,NMPC noff,NMPC ff,Flatness Feedforward,FBL default,FBL tuned (aggressive)
Hover Contraction,0.066615,0.059275,0.164176,0.163633,0.106311,0.066798,0.169213,0.170039,0.050656,0.039213,0.086159,0.08947,0.054968,0.039667,0.047794,0.048137,40.584417,0.700842,0.475773
Fig8 Contraction,0.179653,0.153137,0.994069,0.994875,0.724469,0.734944,1.00933,1.013462,12.539564,13.563184,1.310223,1.382494,0.512137,0.564521,0.133517,0.142965,40.879052,0.7554,0.488426
Fig8 Heading Contraction,0.158229,0.151768,0.623074,0.625962,0.483734,0.457475,0.627364,0.641775,0.442781,0.44461,0.834944,0.84579,0.311261,0.339109,0.078444,0.077771,43.140267,136.25411,112.489904
Spiral Contraction,0.373273,0.421255,1.270721,1.278532,0.9647,0.956093,1.298151,1.312634,7.636792,3.138548,2.127361,2.330099,109.765922,293.196207,0.302704,0.319111,39.270915,0.749837,0.516329
Trefoil Contraction,0.155592,0.152311,0.924883,0.921425,0.618411,0.601379,0.939891,0.921956,0.61742,10.403099,1.091492,1.179597,0.484797,0.476742,0.134975,0.131785,36.103678,0.701272,0.481814
