time,x,y,z,yaw,platform,trajectory,controller,traj_time,comp_time,vx,vy,vz,roll,pitch,f,p,q,r,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,roll_ref,pitch_ref,f_ref,u_ff_df,u_ff_dphi,u_ff_dpsi,u_ff_dth,throttle,p_cmd,q_cmd,r_cmd
10.057806253433228,-0.0073603187,0.03141978,-2.6320796,-0.0036172268121135893,SIM,figure_eight,contraction,0.055544137954711914,0.0011653900146484375,0.015416771,-0.025233975,-0.19490097,-0.005912897047666907,0.0011410982027282301,9.808042449951172,0.0042529763,0.0020836906,-0.00092719006,0.069784656,0.069742166,-3.0,0.0,1.2558719,1.2535772,0.0,-0.011226075,0.002808162,9.8106575,0.023614526,-0.2017656,0.0,0.050530154,0.737879257662425,1.8589324951171875,-1.875732421875,-0.006805419921875
10.10130262374878,-0.0052542025,0.028449727,-2.649999,-0.003845489542725844,nan,nan,nan,0.09892892837524414,0.0009107589721679688,0.014680165,-0.026347859,-0.18719544,-0.005206878073024104,0.0009853212723867077,9.80374053955078,0.052544486,-0.06970314,0.0017279414,0.124237716,0.123997785,-3.0,0.0,1.2542102,1.2469391,0.0,-0.019957539,0.004998666,9.812077,0.04177008,-0.20064251,0.0,0.0504419,0.7377152258264588,1.8576202392578125,-1.91326904296875,-0.005523681640625
10.201984405517578,-0.003133996,0.026093334,-2.6686215,-0.0033965023759775087,nan,nan,nan,0.19973444938659668,0.0011560916900634766,0.038420655,-0.008380083,-0.24070917,0.04507131835562878,-0.05924772658173194,9.789732742309571,0.6487428,-0.6580971,0.03146845,0.25033543,0.24836667,-3.0,0.0,1.2467544,1.2172617,0.0,-0.03995883,0.010065876,9.818335,0.08173978,-0.19563253,0.0,0.05004933,0.7371808590088068,1.5689849853515625,-1.600067138671875,0.049224853515625
10.30133056640625,0.005833349,0.0293684,-2.6954477,-0.011810168485552566,nan,nan,nan,0.29898858070373535,0.0007658004760742188,0.15322159,0.08994827,-0.28608143,0.15699728638023086,-0.18299991817874695,9.762998962402344,1.3992393,-1.4351888,0.04447359,0.3735141,0.36694252,-3.0,0.0,1.234528,1.1689786,0.0,-0.058998972,0.015004061,9.828205,0.11614763,-0.18751876,0.0,0.049417388,0.7361599616710979,0.8326263427734375,-0.7550506591796875,0.16986083984375
10.402420997619629,0.031981982,0.048475962,-2.722091,-0.028397448780799694,nan,nan,nan,0.4002056121826172,0.0012884140014648438,0.3790475,0.29807308,-0.2602473,0.2737366009894246,-0.28143606624638773,9.740055618286135,0.8507921,-0.61550975,0.058202438,0.49763006,0.48198012,-3.0,0.0,1.2171172,1.101043,0.0,-0.077430256,0.01996349,9.841443,0.14405832,-0.17617677,0.0,0.04854147,0.735282696680696,-0.14794921875,0.1225738525390625,0.276947021484375
10.501510381698608,0.09315163,0.100489184,-2.7459471,-0.02300145536274581,nan,nan,nan,0.49912405014038086,0.0009405612945556641,0.68132865,0.60455704,-0.19447607,0.30658976621371925,-0.29685660266308544,9.729771194458012,-0.19775543,0.30889136,0.10308632,0.616987,0.58689433,-3.0,0.0,1.1953465,1.0174532,0.0,-0.09419406,0.02471433,9.856691,0.16273317,-0.16233277,0.0,0.047483012,0.7348891246216471,-0.8873748779296875,0.6283111572265625,0.29290771484375
10.612231731414795,0.19156772,0.19000438,-2.7622476,0.008529228938141634,nan,nan,nan,0.6099402904510498,0.0010769367218017578,0.95830286,0.89462656,-0.13922797,0.2315219704145482,-0.24303798956572376,9.7386321258545,-0.9729017,0.74198693,0.15949126,0.74784887,0.6935993,-3.0,0.0,1.1654797,0.9052324,0.0,-0.11118966,0.029900946,9.87537,0.17230162,-0.1439231,0.0,0.046090946,0.7352282337964529,-1.1967620849609375,0.777740478515625,0.2171630859375
10.713808536529541,0.30968177,0.29840863,-2.773107,0.03710462960385935,nan,nan,nan,0.7118983268737793,0.0013735294342041016,1.1555513,1.0718778,-0.12293891,0.11258399776990502,-0.16994507228904765,9.755428390502939,-1.2942754,0.8406473,0.19167967,0.86506355,0.7799575,-3.0,0.0,1.1330075,0.7864444,0.0,-0.124897905,0.03452788,9.892913,0.17005697,-0.12463107,0.0,0.044646725,0.7358706062606635,-1.1144866943359375,0.70098876953125,0.1304931640625
10.806326866149902,0.42228365,0.3979053,-2.781731,0.05051593479838739,nan,nan,nan,0.8045015335083008,0.001856088638305664,1.2721791,1.124068,-0.12942126,0.005144786196882217,-0.10796835105801783,9.773705596923838,-1.276598,0.7701554,0.19772042,0.96846056,0.8473455,-3.0,0.0,1.0994828,0.6673272,0.0,-0.13556245,0.03859705,9.9082155,0.15906183,-0.10545906,0.0,0.043220658,0.7365689893161987,-0.9015655517578125,0.5803375244140625,0.067779541015625
10.901593446731567,0.5915842,0.5327865,-2.7963178,0.05286037623271413,nan,nan,nan,0.8992047309875488,0.001117706298828125,1.3666508,1.0499728,-0.14608137,-0.12465876096661341,-0.03398225235268271,9.787769699096692,-0.9819734,0.5982897,0.17311811,1.0708097,0.9044011,-3.0,0.0,1.0613501,0.5361861,0.0,-0.14456776,0.042617284,9.922424,0.13972186,-0.08451968,0.0,0.041665915,0.7371059426710287,-0.4439239501953125,0.4201812744140625,0.00689697265625
11.00225305557251,0.7270931,0.62201935,-2.8096073,0.04455152930964058,nan,nan,nan,0.9998695850372314,0.0008258819580078125,1.3906386,0.8940338,-0.15238343,-0.19508957454498854,0.011191518996525485,9.802435607910168,-0.58654094,0.4477171,0.13665308,1.1754379,0.9510059,-3.0,0.0,1.0167013,0.38851807,0.0,-0.15190615,0.04672444,9.935127,0.11148592,-0.0611085,0.0,0.03991929,0.7376654616714966,-0.1544342041015625,0.304168701171875,-0.019775390625
11.114370584487915,0.8939631,0.7018545,-2.8283734,0.027558474362244206,nan,nan,nan,1.112497091293335,0.0016965866088867188,1.3645257,0.625133,-0.14987582,-0.23491538567809803,0.05319344000478665,9.815678710937508,-0.16114157,0.29616824,0.08220295,1.286909,0.98510873,-3.0,0.0,0.96193606,0.21605694,0.0,-0.15726559,0.051105462,9.945561,0.07276497,-0.033926044,0.0,0.03785927,0.7381703397032063,0.106231689453125,0.175018310546875,-0.03497314453125
11.20132327079773,1.0169805,0.73573625,-2.8430958,0.011784071288259104,nan,nan,nan,1.198960781097412,0.0011126995086669922,1.305692,0.39580002,-0.1436101,-0.2380611292390174,0.07628546100181444,9.825836944580086,0.061041154,0.18730292,0.045317877,1.3681419,0.9979439,-3.0,0.0,0.91661054,0.080542654,0.0,-0.15928036,0.05430779,9.95044,0.03978558,-0.012638968,0.0,0.036202908,0.7385573798674703,0.216583251953125,0.07763671875,-0.036376953125
11.306795120239258,1.1291424,0.7447212,-2.8571405,-0.0037116701958581633,nan,nan,nan,1.3058679103851318,0.0013003349304199219,1.2199116,0.17264098,-0.13793036,-0.2242055830951209,0.09003436810522736,9.837169647216804,0.22056736,0.077106364,0.012633485,1.4629751,0.9975366,-3.0,0.0,0.856844,-0.08815067,0.0,-0.15921645,0.058064558,9.952441,-0.0024021517,0.013833122,0.0,0.0340599,0.7389889326001116,0.2053985595703125,-0.00323486328125,-0.03021240234375
11.401122808456421,1.253517,0.72546405,-2.874166,-0.021534244201025995,nan,nan,nan,1.3987646102905273,0.0008795261383056641,1.0864525,-0.08004094,-0.13662498,-0.1941197045483231,0.09513513063505785,9.844688491821298,0.2801985,-0.034116115,-0.0120675145,1.5400366,0.98257697,-3.0,0.0,0.8017619,-0.23355384,0.0,-0.15686803,0.06113849,9.9505415,-0.038170725,0.03667809,0.0,0.03210398,0.7392751153091871,0.213714599609375,-0.0818328857421875,-0.013824462890625
11.506917238235474,1.3430692,0.6872645,-2.8887494,-0.03454474503613923,nan,nan,nan,1.5045762062072754,0.0008203983306884766,0.96478355,-0.26235154,-0.14174925,-0.16773072789160481,0.090530559329697,9.848075027465832,0.25329277,-0.09410457,-0.025923263,1.6214075,0.94926375,-3.0,0.0,0.7357065,-0.39518863,0.0,-0.15163212,0.064412445,9.94449,-0.07537403,0.0621629,0.0,0.029756237,0.7394039781323812,0.138031005859375,-0.107177734375,0.005706787109375
11.603232860565186,1.4182827,0.6331581,-2.9036326,-0.04584237006341336,nan,nan,nan,1.6010828018188477,0.0011365413665771484,0.8475266,-0.4165677,-0.15143442,-0.14627810416614115,0.08121362551289968,9.846014251708997,0.1945681,-0.122743756,-0.026589565,1.6893846,0.9042468,-3.0,0.0,0.6726178,-0.5365968,0.0,-0.14454342,0.06717577,9.935789,-0.103954576,0.08458502,0.0,0.027489802,0.7393255651254766,0.09454345703125,-0.1058807373046875,0.027435302734375
