candidate_profile,mean_baseline_rmse_m,mean_candidate_rmse_m,mean_delta_rmse_m,mean_delta_rmse_pct,mean_baseline_comp_time_ms,mean_candidate_comp_time_ms,mean_delta_comp_time_ms,mean_delta_comp_time_pct
alpha_high,0.241417,0.244873,0.003456,3.964383,0.671207,0.656142,-0.015065,-2.138853
alpha_high_dense,0.241417,0.244814,0.003397,1.885492,0.671207,0.868331,0.197124,29.481696
