Platform,Controller,Trajectory,Modifiers,Position_RMSE_m,Comp_Time_ms,trajectory_key,trajectory_label,case_name,controllers,nr_profile_requested,ff_requested,results_dir,summary_csv,status,controller_key,comparison_label,trajectory_display
SIM,NMPC,HOVER,ff,0.2587128537160659,1.7614205678303565,hover,Hover,nmpc_ff,nmpc,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nmpc_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nmpc_ff/analysis/summary.csv,reused,nmpc,NMPC ff,Hover
SIM,NR Diff-Flat,YAW_ONLY,baseline+noff,0.0914508964966357,0.7296307881672697,yaw_only,Yaw Only,nr_baseline_noff,newton_raphson,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff/analysis/summary.csv,reused,nr_diff_flat,NR Diff-Flat baseline noff,Yaw Only
SIM,NR Enhanced,YAW_ONLY,baseline+noff,0.1700789497777433,0.5950162243284417,yaw_only,Yaw Only,nr_baseline_noff,newton_raphson_enhanced,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff/analysis/summary.csv,reused,newton_raphson_enhanced,NR Enhanced baseline noff,Yaw Only
SIM,NR Standard,YAW_ONLY,baseline+noff,0.159580931728971,0.2561109919212608,yaw_only,Yaw Only,nr_baseline_noff,nr_diff_flat,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_noff/analysis/summary.csv,reused,newton_raphson,Standard NR baseline noff,Yaw Only
SIM,NR Diff-Flat,YAW_ONLY,baseline+ff,0.0916433656725005,0.7511154810587047,yaw_only,Yaw Only,nr_baseline_ff,newton_raphson,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff/analysis/summary.csv,reused,nr_diff_flat,NR Diff-Flat baseline ff,Yaw Only
SIM,NR Enhanced,YAW_ONLY,baseline+ff,0.1742164864241747,0.8692358648497448,yaw_only,Yaw Only,nr_baseline_ff,newton_raphson_enhanced,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff/analysis/summary.csv,reused,newton_raphson_enhanced,NR Enhanced baseline ff,Yaw Only
SIM,NR Standard,YAW_ONLY,baseline+ff,0.1663136194362273,0.6503692040076119,yaw_only,Yaw Only,nr_baseline_ff,nr_diff_flat,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_baseline_ff/analysis/summary.csv,reused,newton_raphson,Standard NR baseline ff,Yaw Only
SIM,NR Diff-Flat,YAW_ONLY,workshop+noff,0.0544656028038531,0.7420110702514152,yaw_only,Yaw Only,nr_workshop_noff,newton_raphson,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff/analysis/summary.csv,reused,nr_diff_flat,NR Diff-Flat workshop noff,Yaw Only
SIM,NR Enhanced,YAW_ONLY,workshop+noff,0.0483044563944206,0.6831059089073274,yaw_only,Yaw Only,nr_workshop_noff,newton_raphson_enhanced,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff/analysis/summary.csv,reused,newton_raphson_enhanced,NR Enhanced workshop noff,Yaw Only
SIM,NR Standard,YAW_ONLY,workshop+noff,0.1016527477243387,0.2676770838606231,yaw_only,Yaw Only,nr_workshop_noff,nr_diff_flat,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_noff/analysis/summary.csv,reused,newton_raphson,Standard NR workshop noff,Yaw Only
SIM,NR Diff-Flat,YAW_ONLY,workshop+ff,0.0887040742514305,0.8957744840793712,yaw_only,Yaw Only,nr_workshop_ff,newton_raphson,workshop,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nr_workshop_ff/analysis/summary.csv,reused,nr_diff_flat,NR Diff-Flat workshop ff,Yaw Only
