trajectory_display,Standard NR baseline noff,Standard NR baseline ff,Standard NR workshop noff,Standard NR workshop ff,NR Enhanced baseline noff,NR Enhanced baseline ff,NR Enhanced workshop noff,NR Enhanced workshop ff,NR Diff-Flat baseline noff,NR Diff-Flat baseline ff,NR Diff-Flat workshop noff,NR Diff-Flat workshop ff,NMPC noff,NMPC ff
Hover,0.25572,0.960531,0.302206,0.754161,0.597763,0.847877,0.661452,0.939283,0.751869,0.772025,0.738881,0.743103,1.736146,1.761421
Yaw Only,0.256111,0.650369,0.267677,0.763903,0.595016,0.869236,0.683106,1.005705,0.729631,0.751115,0.742011,0.895774,1.810753,1.93052
Circle Horizontal,0.262471,0.712708,0.324246,0.718134,0.58651,0.856372,0.638979,0.938448,0.747424,0.751201,0.737606,0.750743,1.836516,1.776955
Circle Vertical,0.264846,0.716771,0.318838,0.753457,0.595012,0.859805,0.665787,0.889194,0.75959,0.74769,0.757111,0.756404,1.853472,1.861415
Fig8 Horizontal,0.323131,0.723131,0.266565,0.727563,0.593433,0.866944,0.692012,0.979675,0.755195,0.763959,0.777659,0.741387,1.779799,1.802991
Fig8 Vertical,0.25978,0.742049,0.272992,0.745171,0.588669,0.813119,0.685904,0.912513,0.785866,0.76027,0.764515,0.750529,1.80029,1.770831
