trajectory_key,trajectory_display,comparison_label_final,Position_RMSE_m,Comp_Time_ms,results_dir
fig8_horz,Fig8 Horizontal,NR Diff-Flat baseline noff,0.260177,0.755195,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_baseline_noff
fig8_horz,Fig8 Horizontal,NR Diff-Flat workshop ff,0.145318,0.998926,/home/egmc/ws_contraction_px4/src/data_analysis/results/nr_diff_flat_ff_timingfix_workshop_fig8_horz_20260402
fig8_horz,Fig8 Horizontal,NR Diff-Flat workshop noff,0.144321,0.777659,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_workshop_noff
fig8_horz,Fig8 Horizontal,NR Enhanced baseline ff,0.368289,0.866944,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_baseline_ff
fig8_horz,Fig8 Horizontal,NR Enhanced baseline noff,0.358827,0.593433,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_baseline_noff
fig8_horz,Fig8 Horizontal,NR Enhanced workshop ff,0.237652,0.979675,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_workshop_ff
fig8_horz,Fig8 Horizontal,NR Enhanced workshop noff,0.234617,0.692012,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_workshop_noff
fig8_horz,Fig8 Horizontal,Standard NR baseline ff,0.346801,0.723131,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_baseline_ff
fig8_horz,Fig8 Horizontal,Standard NR baseline noff,0.352456,0.323131,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_baseline_noff
fig8_horz,Fig8 Horizontal,Standard NR workshop ff,0.234825,0.727563,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_workshop_ff
fig8_horz,Fig8 Horizontal,Standard NR workshop noff,0.21479,0.266565,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_horz/nr_workshop_noff
fig8_vert,Fig8 Vertical,NMPC ff,0.075764,1.770831,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nmpc_ff
fig8_vert,Fig8 Vertical,NMPC noff,0.075779,1.80029,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nmpc_noff
fig8_vert,Fig8 Vertical,NR Diff-Flat baseline ff,0.403856,0.76027,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_baseline_ff
fig8_vert,Fig8 Vertical,NR Diff-Flat baseline noff,0.362788,0.785866,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_baseline_noff
fig8_vert,Fig8 Vertical,NR Diff-Flat workshop ff,0.155035,0.694528,/home/egmc/ws_contraction_px4/src/data_analysis/results/nr_diff_flat_ff_timingfix_workshop_fig8_vert_20260402
fig8_vert,Fig8 Vertical,NR Diff-Flat workshop noff,0.142565,0.764515,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_workshop_noff
fig8_vert,Fig8 Vertical,NR Enhanced baseline ff,0.37521,0.813119,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_baseline_ff
fig8_vert,Fig8 Vertical,NR Enhanced baseline noff,0.351542,0.588669,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_baseline_noff
fig8_vert,Fig8 Vertical,NR Enhanced workshop ff,0.241454,0.912513,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_workshop_ff
fig8_vert,Fig8 Vertical,NR Enhanced workshop noff,0.232275,0.685904,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_workshop_noff
fig8_vert,Fig8 Vertical,Standard NR baseline ff,0.358293,0.742049,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_baseline_ff
fig8_vert,Fig8 Vertical,Standard NR baseline noff,0.354864,0.25978,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_baseline_noff
fig8_vert,Fig8 Vertical,Standard NR workshop ff,0.233461,0.745171,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_workshop_ff
fig8_vert,Fig8 Vertical,Standard NR workshop noff,0.260021,0.272992,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/fig8_vert/nr_workshop_noff
hover,Hover,NMPC ff,0.258713,1.761421,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nmpc_ff
hover,Hover,NMPC noff,0.271912,1.736146,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nmpc_noff
hover,Hover,NR Diff-Flat baseline ff,0.398795,0.772025,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_baseline_ff
hover,Hover,NR Diff-Flat baseline noff,0.382799,0.751869,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_baseline_noff
hover,Hover,NR Diff-Flat workshop ff,357.14206,0.743103,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_workshop_ff
hover,Hover,NR Diff-Flat workshop noff,0.447791,0.738881,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_workshop_noff
hover,Hover,NR Enhanced baseline ff,0.538222,0.847877,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_baseline_ff
hover,Hover,NR Enhanced baseline noff,0.546792,0.597763,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_baseline_noff
hover,Hover,NR Enhanced workshop ff,0.495781,0.939283,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_workshop_ff
hover,Hover,NR Enhanced workshop noff,0.495054,0.661452,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_workshop_noff
hover,Hover,Standard NR baseline ff,0.475174,0.960531,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_baseline_ff
hover,Hover,Standard NR baseline noff,0.476653,0.25572,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_baseline_noff
hover,Hover,Standard NR workshop ff,0.428878,0.754161,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_workshop_ff
hover,Hover,Standard NR workshop noff,0.432116,0.302206,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/hover/nr_workshop_noff
yaw_only,Yaw Only,NMPC ff,0.04921,1.93052,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/yaw_only/nmpc_ff
